time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.0,16.0,16.0,16.0,0,,
2020-01-03,16.0,16.0,16.0,16.0,0,,
2020-01-06,16.0,16.0,16.0,16.0,0,,
2020-01-07,14.4,14.4,14.4,14.4,100,,
2020-01-08,13.0,13.0,13.0,13.0,100,,
2020-01-09,13.0,13.0,13.0,13.0,0,,
2020-01-10,14.0,14.0,14.0,14.0,300,,
2020-01-13,14.0,14.0,14.0,14.0,0,,
2020-01-14,14.0,14.0,14.0,14.0,0,,
2020-01-15,14.0,14.0,14.0,14.0,0,,
2020-01-16,15.0,15.0,15.0,15.0,560,,
2020-01-17,15.0,15.0,15.0,15.0,0,,
2020-01-20,15.0,15.0,15.0,15.0,0,,
2020-01-21,15.0,15.0,15.0,15.0,0,,
2020-01-22,15.0,15.0,15.0,15.0,0,,
2020-01-30,15.0,15.0,15.0,15.0,0,,
2020-01-31,15.0,15.0,15.0,15.0,0,,
2020-02-03,15.0,15.0,15.0,15.0,0,,
2020-02-04,15.0,15.0,15.0,15.0,0,,
2020-02-05,15.0,15.0,15.0,15.0,0,14.72,14.9603
2020-02-06,15.0,15.0,15.0,15.0,0,14.67,14.9641
2020-02-07,15.0,15.0,15.0,15.0,0,14.62,14.9675
2020-02-10,15.0,15.0,15.0,15.0,0,14.57,14.9706
2020-02-11,15.0,15.0,15.0,15.0,0,14.6,14.9734
2020-02-12,15.0,15.0,15.0,15.0,0,14.7,14.9759
2020-02-13,15.0,15.0,15.0,15.0,0,14.8,14.9782
2020-02-14,15.0,15.0,15.0,15.0,0,14.85,14.9803
2020-02-17,15.0,15.0,15.0,15.0,0,14.9,14.9822
2020-02-18,15.0,15.0,15.0,15.0,0,14.95,14.9839
2020-02-19,15.0,15.0,15.0,15.0,0,15.0,14.9854
2020-02-20,15.0,15.0,15.0,15.0,0,15.0,14.9868
2020-02-21,15.0,15.0,15.0,15.0,0,15.0,14.988
2020-02-24,15.0,15.0,15.0,15.0,0,15.0,14.9892
