time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,14.25,14.25,14.25,14.25,0,,
2020-01-03,14.25,14.25,14.25,14.25,0,,
2020-01-06,14.25,14.25,14.25,14.25,0,,
2020-01-07,14.25,14.25,14.25,14.25,0,,
2020-01-08,14.25,14.25,14.25,14.25,0,,
2020-01-09,14.25,14.25,14.25,14.25,0,,
2020-01-10,14.25,14.25,14.25,14.25,0,,
2020-01-13,14.25,14.25,14.25,14.25,0,,
2020-01-14,14.25,14.25,14.25,14.25,0,,
2020-01-15,14.25,14.25,14.25,14.25,0,,
2020-01-16,14.25,14.25,14.25,14.25,0,,
2020-01-17,14.25,14.25,14.25,14.25,0,,
2020-01-20,14.25,14.25,14.25,14.25,0,,
2020-01-21,14.25,14.25,14.25,14.25,0,,
2020-01-22,14.25,14.25,14.25,14.25,0,,
2020-01-30,14.25,14.25,14.25,14.25,0,,
2020-01-31,14.25,14.25,14.25,14.25,0,,
2020-02-03,14.25,14.25,14.25,14.25,0,,
2020-02-04,14.25,14.25,14.25,14.25,0,,
2020-02-05,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-06,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-07,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-10,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-11,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-12,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-13,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-14,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-17,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-18,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-19,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-20,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-21,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-24,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-25,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-26,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-27,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-02-28,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-02,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-03,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-04,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-05,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-06,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-09,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-10,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-11,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-12,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-13,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-16,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-17,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-18,14.25,14.25,14.25,14.25,0,14.25,14.25
2020-03-19,14.25,14.25,14.25,14.25,0,14.25,14.25
