time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.1,16.2,16.1,16.1,1300,,
2020-01-03,16.1,16.1,16.1,16.1,0,,
2020-01-06,16.1,16.1,16.1,16.1,0,,
2020-01-07,15.0,18.0,15.0,18.0,1900,,
2020-01-08,15.1,15.1,15.1,15.1,1800,,
2020-01-09,15.1,15.1,15.1,15.1,0,,
2020-01-10,15.1,15.1,15.1,15.1,200,,
2020-01-13,15.1,15.1,14.6,14.6,2100,,
2020-01-14,15.6,15.7,15.5,15.7,600,,
2020-01-15,15.5,15.5,15.5,15.5,2400,,
2020-01-16,15.5,15.5,15.5,15.5,0,,
2020-01-17,15.5,15.5,15.5,15.5,0,,
2020-01-20,14.1,14.1,14.0,14.0,500,,
2020-01-21,15.0,15.0,15.0,15.0,210,,
2020-01-22,15.0,15.0,15.0,15.0,0,,
2020-01-30,15.0,15.0,15.0,15.0,0,,
2020-01-31,15.0,15.0,15.0,15.0,0,,
2020-02-03,15.0,15.0,15.0,15.0,0,,
2020-02-04,15.0,15.0,15.0,15.0,0,,
2020-02-05,15.0,15.0,15.0,15.0,0,15.37,15.287
2020-02-06,17.0,17.2,17.0,17.2,11210,15.425,15.4692
2020-02-07,17.2,17.2,17.2,17.2,10,15.48,15.634
2020-02-10,14.9,14.9,14.9,14.9,100,15.42,15.5641
2020-02-11,14.9,14.9,14.9,14.9,0,15.265,15.5009
2020-02-12,14.9,14.9,14.9,14.9,0,15.255,15.4437
2020-02-13,14.9,14.9,14.9,14.9,0,15.245,15.3919
2020-02-14,14.9,14.9,14.9,14.9,0,15.235,15.345
2020-02-17,14.9,14.9,14.9,14.9,50,15.25,15.3026
2020-02-18,14.9,14.9,14.9,14.9,0,15.21,15.2643
2020-02-19,14.9,14.9,14.9,14.9,0,15.18,15.2296
2020-02-20,14.9,14.9,14.9,14.9,0,15.15,15.1982
2020-02-21,14.9,14.9,14.9,14.9,0,15.12,15.1698
2020-02-24,14.9,14.9,14.9,14.9,0,15.165,15.1441
2020-02-25,14.9,14.9,14.9,14.9,100,15.16,15.1209
2020-02-26,14.9,14.9,14.9,14.9,0,15.155,15.0998
2020-02-27,14.9,14.9,14.9,14.9,0,15.15,15.0808
2020-02-28,14.9,14.9,14.9,14.9,0,15.145,15.0636
2020-03-02,14.9,14.9,14.9,14.9,0,15.14,15.048
2020-03-03,14.9,14.9,14.9,14.9,0,15.135,15.0339
2020-03-04,14.9,14.9,14.9,14.9,0,15.13,15.0212
2020-03-05,14.0,14.0,14.0,14.0,400,14.97,14.9239
2020-03-06,14.0,14.0,14.0,14.0,0,14.81,14.8359
2020-03-09,14.0,14.0,14.0,14.0,0,14.765,14.7563
2020-03-10,13.1,13.1,13.1,13.1,506,14.675,14.5986
2020-03-11,13.9,13.9,13.9,13.9,100,14.625,14.532
2020-03-12,14.0,14.0,13.9,13.9,600,14.575,14.4718
