time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.85,4.85,4.85,4.85,0,,
2020-01-03,4.85,4.85,4.85,4.85,0,,
2020-01-06,4.85,4.85,4.85,4.85,0,,
2020-01-07,4.85,4.85,4.85,4.85,0,,
2020-01-08,4.85,4.85,4.85,4.85,0,,
2020-01-09,4.85,4.85,4.85,4.85,0,,
2020-01-10,4.85,4.85,4.85,4.85,0,,
2020-01-13,4.85,4.85,4.85,4.85,30,,
2020-01-14,4.85,4.85,4.85,4.85,0,,
2020-01-15,4.85,4.85,4.85,4.85,0,,
2020-01-16,4.85,4.85,4.85,4.85,0,,
2020-01-17,4.85,4.85,4.85,4.85,0,,
2020-01-20,4.85,4.85,4.85,4.85,0,,
2020-01-21,4.85,4.85,4.85,4.85,0,,
2020-01-22,4.85,4.85,4.85,4.85,44,,
2020-01-30,4.85,4.85,4.85,4.85,0,,
2020-01-31,4.85,4.85,4.85,4.85,0,,
2020-02-03,4.85,4.85,4.85,4.85,0,,
2020-02-04,4.85,4.85,4.85,4.85,0,,
2020-02-05,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-06,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-07,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-10,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-11,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-12,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-13,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-14,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-17,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-18,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-19,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-20,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-21,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-24,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-25,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-26,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-27,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-02-28,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-02,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-03,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-04,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-05,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-06,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-09,4.85,4.85,4.85,4.85,0,4.85,4.85
2020-03-10,4.37,4.37,4.37,4.37,100,4.826,4.8043
