time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,32.8,32.8,32.8,32.8,0,,
2020-01-03,32.8,32.8,32.8,32.8,0,,
2020-01-06,32.8,32.8,32.8,32.8,0,,
2020-01-07,32.8,32.8,32.8,32.8,0,,
2020-01-08,32.8,32.8,32.8,32.8,0,,
2020-01-09,32.8,32.8,32.8,32.8,0,,
2020-01-10,32.8,32.8,32.8,32.8,0,,
2020-01-13,32.8,32.8,32.8,32.8,0,,
2020-01-14,32.8,32.8,32.8,32.8,0,,
2020-01-15,32.8,32.8,32.8,32.8,0,,
2020-01-16,32.8,32.8,32.8,32.8,0,,
2020-01-17,32.8,32.8,32.8,32.8,0,,
2020-01-20,32.8,32.8,32.8,32.8,0,,
2020-01-21,32.8,32.8,32.8,32.8,0,,
2020-01-22,32.8,32.8,32.8,32.8,0,,
2020-01-30,32.8,32.8,32.8,32.8,0,,
2020-01-31,32.8,32.8,32.8,32.8,0,,
2020-02-03,32.8,32.8,32.8,32.8,0,,
2020-02-04,32.8,32.8,32.8,32.8,0,,
2020-02-05,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-06,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-07,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-10,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-11,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-12,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-13,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-14,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-17,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-18,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-19,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-20,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-21,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-24,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-25,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-26,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-27,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-02-28,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-02,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-03,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-04,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-05,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-06,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-09,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-10,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-11,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-12,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-13,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-16,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-17,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-18,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-19,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-20,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-23,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-24,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-25,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-26,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-27,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-30,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-03-31,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-04-01,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-04-03,32.8,32.8,32.8,32.8,0,32.8,32.8
2020-04-06,29.6,29.6,29.6,29.6,200,32.64,32.4952
2020-04-07,29.6,29.6,29.6,29.6,0,32.48,32.2195
