time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,15.39,15.39,15.39,15.39,0,,
2020-01-03,15.39,15.39,15.39,15.39,0,,
2020-01-06,15.39,15.39,15.39,15.39,0,,
2020-01-07,15.39,15.39,15.39,15.39,0,,
2020-01-08,15.39,15.39,15.39,15.39,0,,
2020-01-09,15.39,15.39,15.39,15.39,0,,
2020-01-10,15.39,15.39,15.39,15.39,0,,
2020-01-13,15.39,15.39,15.39,15.39,0,,
2020-01-14,15.39,15.39,15.39,15.39,0,,
2020-01-15,15.39,15.39,15.39,15.39,0,,
2020-01-16,15.39,15.39,15.39,15.39,0,,
2020-01-17,15.39,15.39,15.39,15.39,0,,
2020-01-20,15.39,15.39,15.39,15.39,0,,
2020-01-21,15.39,15.39,15.39,15.39,0,,
2020-01-22,15.39,15.39,15.39,15.39,0,,
2020-01-30,15.39,15.39,15.39,15.39,0,,
2020-01-31,15.39,15.39,15.39,15.39,0,,
2020-02-03,15.39,15.39,15.39,15.39,0,,
2020-02-04,15.39,15.39,15.39,15.39,0,,
2020-02-05,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-06,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-07,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-10,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-11,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-12,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-13,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-14,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-17,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-18,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-19,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-20,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-21,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-24,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-25,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-26,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-27,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-02-28,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-02,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-03,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-04,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-05,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-06,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-09,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-10,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-11,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-12,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-13,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-16,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-17,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-18,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-19,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-20,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-23,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-24,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-25,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-26,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-27,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-30,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-03-31,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-01,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-03,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-06,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-07,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-08,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-09,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-10,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-13,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-14,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-15,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-16,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-17,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-20,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-21,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-22,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-23,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-24,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-27,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-28,15.39,15.39,15.39,15.39,0,15.39,15.39
2020-04-29,15.39,15.39,15.39,15.39,0,15.39,15.39
